"OriginAirport","FlightDurationMins","DestinationAirport","Flight_Number","AirlineName","FlightDistance","TailNumber","ScheduledDepartureTime","ScheduledArrivalTime"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","2068","Delta Air Lines Inc.","1269","N552NW","2015-09-29T07:54Z","2015-09-29T12:52Z"
"Albuquerque International Sunport","315","Hartsfield-Jackson Atlanta International","2041","Delta Air Lines Inc.","1269","N616DL","2009-05-29T08:38Z","2009-05-29T13:53Z"
"Albuquerque International Sunport","292","Hartsfield-Jackson Atlanta International","1577","Delta Air Lines Inc.","1269","N687DL","2016-05-11T06:18Z","2016-05-11T11:10Z"
"Albuquerque International Sunport","285","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N542D1","2002-01-18T06:57Z","2002-01-18T11:42Z"
"Albuquerque International Sunport","297","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N553NW","2012-09-18T13:01Z","2012-09-18T17:58Z"
"Albuquerque International Sunport","292","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N960DN","2014-09-22T06:20Z","2014-09-22T11:12Z"
"Albuquerque International Sunport","282","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N942DL","1998-01-25T07:59Z","1998-01-25T12:41Z"
"Albuquerque International Sunport","301","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N3764D","2002-05-21T11:26Z","2002-05-21T16:27Z"
"Albuquerque International Sunport","301","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N912DN","2014-09-11T06:19Z","2014-09-11T11:20Z"
"Albuquerque International Sunport","287","Hartsfield-Jackson Atlanta International","1784","Delta Air Lines Inc.","1269","N525US","2014-09-19T13:07Z","2014-09-19T17:54Z"
"Albuquerque International Sunport","276","Hartsfield-Jackson Atlanta International","1100","Delta Air Lines Inc.","1269","N902DE","1996-01-23T07:30Z","1996-01-23T12:06Z"
"Albuquerque International Sunport","294","Hartsfield-Jackson Atlanta International","1976","Delta Air Lines Inc.","1269","N3739P","2009-05-30T13:15Z","2009-05-30T18:09Z"
"Albuquerque International Sunport","308","Hartsfield-Jackson Atlanta International","1692","Delta Air Lines Inc.","1269","N970DL","2010-01-30T13:12Z","2010-01-30T18:20Z"
"Albuquerque International Sunport","280","Hartsfield-Jackson Atlanta International","1398","Delta Air Lines Inc.","1269","N921DL","2014-01-05T07:28Z","2014-01-05T12:08Z"
"Albuquerque International Sunport","281","Hartsfield-Jackson Atlanta International","2292","Delta Air Lines Inc.","1269","N393D1","2001-09-01T00:49Z","2001-09-01T05:30Z"
"Albuquerque International Sunport","296","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N388DA","2010-05-21T08:27Z","2010-05-21T13:23Z"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","2327","Delta Air Lines Inc.","1269","N688DL","2010-05-23T13:09Z","2010-05-23T18:07Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","1532","Delta Air Lines Inc.","1269","N3731T","2010-09-01T06:01Z","2010-09-01T10:54Z"
"Albuquerque International Sunport","297","Hartsfield-Jackson Atlanta International","1298","Delta Air Lines Inc.","1269","N923DL","2009-09-01T08:14Z","2009-09-01T13:11Z"
"Albuquerque International Sunport","300","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N3754A","2002-05-27T07:01Z","2002-05-27T12:01Z"
"Albuquerque International Sunport","303","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N931DL","1999-05-10T14:06Z","1999-05-10T19:09Z"
"Albuquerque International Sunport","333","Hartsfield-Jackson Atlanta International","1260","Delta Air Lines Inc.","1269","N3768","2004-05-17T11:18Z","2004-05-17T16:51Z"
"Albuquerque International Sunport","307","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N553NW","2014-05-25T07:07Z","2014-05-25T12:14Z"
"Albuquerque International Sunport","301","Hartsfield-Jackson Atlanta International","1664","Delta Air Lines Inc.","1269","N915DL","2009-01-08T08:28Z","2009-01-08T13:29Z"
"Albuquerque International Sunport","286","Hartsfield-Jackson Atlanta International","1692","Delta Air Lines Inc.","1269","N909DE","2010-01-06T13:10Z","2010-01-06T17:56Z"
"Albuquerque International Sunport","294","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N901DA","2013-01-25T13:30Z","2013-01-25T18:24Z"
"Albuquerque International Sunport","285","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N939DL","1999-05-04T00:58Z","1999-05-04T05:43Z"
"Albuquerque International Sunport","335","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N746","2003-09-09T15:25Z","2003-09-09T21:00Z"
"Albuquerque International Sunport","325","Baltimore/Washington International Thurgood Marshall","624","Southwest Airlines Co.","1670","N469WN","2013-01-20T07:09Z","2013-01-20T12:34Z"
"Albuquerque International Sunport","325","Baltimore/Washington International Thurgood Marshall","2291","Southwest Airlines Co.","1670","N404WN","2015-01-13T18:05Z","2015-01-13T23:30Z"
"Albuquerque International Sunport","335","Baltimore/Washington International Thurgood Marshall","1753","Southwest Airlines Co.","1670","N424WN","2010-01-15T10:09Z","2010-01-15T15:44Z"
"Albuquerque International Sunport","337","Baltimore/Washington International Thurgood Marshall","2846","Southwest Airlines Co.","1670","N711HK","2016-05-10T15:24Z","2016-05-10T21:01Z"
"Albuquerque International Sunport","330","Baltimore/Washington International Thurgood Marshall","3301","Southwest Airlines Co.","1670","N768SW","2015-05-07T16:05Z","2015-05-07T21:35Z"
"Albuquerque International Sunport","343","Baltimore/Washington International Thurgood Marshall","652","Southwest Airlines Co.","1670","N447WN","2014-09-23T15:27Z","2014-09-23T21:10Z"
