"OriginAirport","Airline","FlightNumber","FlightDistance","ScheduledDepartTime","ScheduledArrivalTime","DestinationAirport"
"Albuquerque International Sunport","Delta Air Lines Inc.","1692","1269","2010-01-30T13:12Z","2010-01-30T18:20Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1398","1269","2014-01-05T07:28Z","2014-01-05T12:08Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2292","1269","2001-09-01T00:49Z","2001-09-01T05:30Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2010-05-21T08:27Z","2010-05-21T13:23Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2327","1269","2010-05-23T13:09Z","2010-05-23T18:07Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1532","1269","2010-09-01T06:01Z","2010-09-01T10:54Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1298","1269","2009-09-01T08:14Z","2009-09-01T13:11Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2098","1269","2002-05-27T07:01Z","2002-05-27T12:01Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","944","1269","1999-05-10T14:06Z","1999-05-10T19:09Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1260","1269","2004-05-17T11:18Z","2004-05-17T16:51Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1452","1269","2014-05-25T07:07Z","2014-05-25T12:14Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1664","1269","2009-01-08T08:28Z","2009-01-08T13:29Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1692","1269","2010-01-06T13:10Z","2010-01-06T17:56Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","1022","1269","2013-01-25T13:30Z","2013-01-25T18:24Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Delta Air Lines Inc.","2022","1269","1999-05-04T00:58Z","1999-05-04T05:43Z","Hartsfield-Jackson Atlanta International"
"Albuquerque International Sunport","Southwest Airlines Co.","1604","1670","2003-09-09T15:25Z","2003-09-09T21:00Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","624","1670","2013-01-20T07:09Z","2013-01-20T12:34Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","2291","1670","2015-01-13T18:05Z","2015-01-13T23:30Z","Baltimore/Washington International Thurgood Marshall"
"Albuquerque International Sunport","Southwest Airlines Co.","1753","1670","2010-01-15T10:09Z","2010-01-15T15:44Z","Baltimore/Washington International Thurgood Marshall"
