"Airport","Article_Rank_Score"
"CSG","-0.3649924091705039"
"GTR","-0.3726763085161579"
"DAY","-0.13001976507166427"
"CDV","-0.3599552909959741"
"DEN","3.84615382006074"
"DSM","-0.1820165075603174"
"CRP","-0.26551434538434404"
"CEC","-0.3738108964049204"
"PUB","-0.38535842918723806"
"DAB","-0.3346186010474908"
"SCC","-0.36605360454014124"
"DRT","-0.3858268762384187"
"COU","-0.38045963219246887"
"CAE","-0.2470776814712756"
"UTM","-0.38600966503359396"
"SPN","-0.3861336867381572"
"SHD","-0.38613591361366284"
"RFD","-0.386137366367109"
