"Airport","Article_Rank_Score"
"ALO","4.389433783840191E-4"
"ART","1.8144785434020966E-4"
"ILM","0.006867924489321728"
"ILG","1.355295143399322E-4"
"ORH","4.283298668805135E-4"
"ISN","0.001212910897875752"
"SPS","0.0019223812095220095"
"HPN","0.017719738572181096"
"WRG","0.003255214395706565"
"YUM","0.00336409708243134"
"YAK","0.0033063458811716444"
"WYS","3.639355787248432E-4"
"AVP","0.004703266859738171"
"SBA","0.015283536230764684"
"SAV","0.019178636102286255"
"SRQ","0.012930620258254871"
"CIU","2.489532516394522E-4"
"SAF","0.0013277073514717137"
"SMX","0.001569111460434924"
"SNA","0.10032789900367138"
"SJC","0.12606155030458197"
"SBP","0.006430936057883135"
"SJU","0.05690730301875439"
"DAL","0.13235171308940277"
"PVD","0.04851804261473887"
"MEI","0.001127917726119631"
"BMI","0.004284949439773151"
"MDT","0.016999408942910757"
"HRL","0.012585020138799528"
"GUC","8.845607122001709E-4"
"GPT","0.007616139676653922"
"CMX","6.359360532723891E-4"
"GST","6.432494364325021E-5"
"GUM","5.359442200421215E-4"
"GRR","0.02656252862505446"
"GRB","0.010018310274591284"
"GTF","0.006754138568235702"
"GJT","0.005612247975600288"
"GFK","0.00292487599811787"
"GNV","0.004239581167769538"
"GCC","0.0017950670060755914"
"FAT","0.01680251854058071"
"FWA","0.008499851692038573"
"FSM","0.0033361632062828047"
"GRI","3.9821236460587625E-4"
"FLL","0.14116710795220017"
"FAR","0.008862203829259702"
"FAI","0.016363735602216975"
"EVV","0.005928882024726775"
"XNA","0.016752248629065363"
"FAY","0.004951371443633443"
"FLG","0.0019750427286269684"
"DLH","0.004297555931258999"
"EUG","0.008644544695724052"
"ELM","0.0033978045432300507"
"ERI","0.0021521640824850043"
"ESC","2.1345616884398084E-4"
"EKO","0.0020749696431599947"
"ELP","0.05580805071819257"
"DTW","0.38967748561168003"
"DRO","0.0031537378942169307"
"EAU","6.475249560119298E-4"
"IPL","6.615679647007324E-4"
"EGE","0.0034608385655862184"
"DBQ","0.001211153763108147"
"DHN","0.0019283252992222234"
"DVL","2.5478886552656035E-4"
"DIK","4.567412689898482E-4"
"DLG","6.619885122511557E-4"
"STX","0.0023536321320722343"
"CIC","0.0013333777092244942"
"CVG","0.18546618007190305"
"CLE","0.14505891187645817"
"CHA","0.007815706222537936"
"CYS","8.239359493857771E-5"
"CHO","0.0025629381808515896"
"STT","0.007996323295464994"
"COS","0.027628842802989457"
"CLL","0.003243121441804973"
"COD","0.0013250031873913903"
"FNT","0.0074143260561594475"
"FLO","4.257169139043327E-4"
"CMH","0.08150137912755986"
